beta,month,obs_monthly,obs_cumulative,abm_mean_monthly,abm_sd_monthly,abm_mean_cumulative,abm_sd_cumulative,sigma_used,residual_cumulative
0.03797,13,2.0,25.0,1.52,2.5653897344840066,26.86,16.361989300740635,16.361989300740635,-1.8599999999999994
0.03797,14,1.0,26.0,0.56,0.9722685444099174,27.42,17.028295779168776,17.028295779168776,-1.4200000000000017
0.03797,15,1.0,27.0,0.12,0.5205962045225314,27.54,17.183535071428707,17.183535071428707,-0.5399999999999991
0.03797,16,2.0,29.0,0.14,0.6391959234627743,27.68,17.557416015543325,17.557416015543325,1.3200000000000003
0.03797,17,5.0,34.0,0.24,1.0984218735280622,27.92,18.21284588146621,18.21284588146621,6.079999999999998
0.03797,18,2.0,36.0,0.26,1.4400963686574617,28.18,19.14252664959911,19.14252664959911,7.82
0.03797,19,2.0,38.0,0.26,1.3218725123004524,28.44,20.06332830955878,20.06332830955878,9.559999999999999
0.03798,1,5.0,5.0,7.1,2.2246302146282053,7.1,2.2246302146282053,2.2246302146282053,-2.0999999999999996
0.03798,2,2.0,7.0,3.2,1.818274580193979,10.3,2.793943887943992,2.793943887943992,-3.3000000000000007
0.03798,3,0.0,7.0,1.34,1.7912485669419058,11.64,3.7074662672031127,3.7074662672031127,-4.640000000000001
0.03798,4,2.0,9.0,1.64,2.2293039089292765,13.28,5.310905222814118,5.310905222814118,-4.279999999999999
0.03798,5,1.0,10.0,1.8,2.7994168488950613,15.08,7.711216320585043,7.711216320585043,-5.08
0.03798,6,1.0,11.0,2.32,2.937720899206161,17.4,10.22601723895616,10.22601723895616,-6.399999999999999
0.03798,7,2.0,13.0,2.8,3.6922422809485957,20.2,13.657621031676708,13.657621031676708,-7.199999999999999
0.03798,8,2.0,15.0,1.34,1.7215323027430407,21.54,14.983269581334334,14.983269581334334,-6.539999999999999
0.03798,9,6.0,21.0,0.44,0.972268544409918,21.98,15.644637863419883,15.644637863419883,-0.9800000000000004
0.03798,10,1.0,22.0,0.48,1.0736168130317683,22.46,16.409566647264647,16.409566647264647,-0.46000000000000085
0.03798,11,1.0,23.0,0.68,1.544443628770238,23.14,17.59175363397201,17.59175363397201,-0.14000000000000057
0.03798,12,0.0,23.0,0.78,1.9090546864661486,23.92,19.235214305740268,19.235214305740268,-0.9200000000000017
0.03798,13,2.0,25.0,0.88,1.791590332181815,24.8,20.740377655822048,20.740377655822048,0.1999999999999993
0.03798,14,1.0,26.0,0.5,1.1293848786315641,25.3,21.346748545607312,21.346748545607312,0.6999999999999993
0.03798,15,1.0,27.0,0.08,0.2740475156178699,25.38,21.37602127886024,21.37602127886024,1.620000000000001
0.03798,16,2.0,29.0,0.28,0.7835033829029763,25.66,21.84230121688142,21.84230121688142,3.34
0.03798,17,5.0,34.0,0.16,0.4218520874352399,25.82,21.88717824271944,21.88717824271944,8.18
0.03798,18,2.0,36.0,0.28,0.6712765785411842,26.1,22.2125630935215,22.2125630935215,9.899999999999999
0.03798,19,2.0,38.0,0.2,0.7559289460184542,26.3,22.392828662547394,22.392828662547394,11.7
0.038,1,5.0,5.0,6.32,2.2355203019449768,6.32,2.2355203019449768,2.2355203019449768,-1.3200000000000003
0.038,2,2.0,7.0,3.02,1.9845320221500018,9.34,3.4381414058369693,3.4381414058369693,-2.34
0.038,3,0.0,7.0,1.18,1.3505856628341133,10.52,3.934359372689458,3.934359372689458,-3.5199999999999996
0.038,4,2.0,9.0,1.32,1.6467655372559504,11.84,4.765351133817048,4.765351133817048,-2.84
0.038,5,1.0,10.0,1.68,1.7076060339981642,13.52,5.736528140089685,5.736528140089685,-3.5199999999999996
0.038,6,1.0,11.0,2.06,2.2804403441584054,15.58,7.359819208072315,7.359819208072315,-4.58
0.038,7,2.0,13.0,2.7,2.894399941336402,18.28,9.551236697359123,9.551236697359123,-5.280000000000001
0.038,8,2.0,15.0,0.98,1.2695813225996504,19.26,10.229628836006174,10.229628836006174,-4.260000000000002
0.038,9,6.0,21.0,0.36,0.7216760537322908,19.62,10.54608932258778,10.54608932258778,1.379999999999999
0.038,10,1.0,22.0,0.38,0.8780776777502464,20.0,10.982360625018611,10.982360625018611,2.0
0.038,11,1.0,23.0,0.58,1.2136973364433963,20.58,11.623498366916662,11.623498366916662,2.4200000000000017
0.038,12,0.0,23.0,0.56,1.1277573917708887,21.14,12.345386645568109,12.345386645568109,1.8599999999999994
0.038,13,2.0,25.0,0.92,1.8388106182518946,22.06,13.450453296359605,13.450453296359605,2.9400000000000013
0.038,14,1.0,26.0,0.38,0.8302937763840224,22.44,13.89047537424292,13.89047537424292,3.5599999999999987
0.038,15,1.0,27.0,0.08,0.44446711960297225,22.52,14.055632903805172,14.055632903805172,4.48
0.038,16,2.0,29.0,0.08,0.3404678653660855,22.6,14.166646658649334,14.166646658649334,6.399999999999999
0.038,17,5.0,34.0,0.28,1.1612800818800906,22.88,14.502132144436347,14.502132144436347,11.120000000000001
0.038,18,2.0,36.0,0.28,1.0887176504718663,23.16,14.982111782702324,14.982111782702324,12.84
0.038,19,2.0,38.0,0.4,1.5386185163241433,23.56,15.740445757762426,15.740445757762426,14.440000000000001
0.03801,1,5.0,5.0,6.7,2.0228288940723282,6.7,2.0228288940723282,2.0228288940723282,-1.7000000000000002
0.03801,2,2.0,7.0,3.08,1.6762445878711578,9.78,2.7500649342983055,2.7500649342983055,-2.7799999999999994
0.03801,3,0.0,7.0,1.3,1.5939938288872428,11.08,3.2061166032241233,3.2061166032241233,-4.08
0.03801,4,2.0,9.0,1.6,1.7023393268304265,12.68,3.9612407868530997,3.9612407868530997,-3.6799999999999997
0.03801,5,1.0,10.0,2.0,2.3647064796066926,14.68,5.512286832381727,5.512286832381727,-4.68
