beta,iteration,monthly_incidence_m1,monthly_cumulative_m1,monthly_incidence_m2,monthly_cumulative_m2,monthly_incidence_m3,monthly_cumulative_m3,monthly_incidence_m4,monthly_cumulative_m4,monthly_incidence_m5,monthly_cumulative_m5,monthly_incidence_m6,monthly_cumulative_m6,monthly_incidence_m7,monthly_cumulative_m7,monthly_incidence_m8,monthly_cumulative_m8,monthly_incidence_m9,monthly_cumulative_m9,monthly_incidence_m10,monthly_cumulative_m10,monthly_incidence_m11,monthly_cumulative_m11,monthly_incidence_m12,monthly_cumulative_m12,monthly_incidence_m13,monthly_cumulative_m13,monthly_incidence_m14,monthly_cumulative_m14,monthly_incidence_m15,monthly_cumulative_m15,monthly_incidence_m16,monthly_cumulative_m16,monthly_incidence_m17,monthly_cumulative_m17,monthly_incidence_m18,monthly_cumulative_m18,monthly_incidence_m19,monthly_cumulative_m19
0.037,7,9.0,9.0,2.0,11.0,0.0,11.0,0.0,11.0,1.0,12.0,4.0,16.0,3.0,19.0,2.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0
0.037,8,10.0,10.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,12.0,1.0,13.0,4.0,17.0,0.0,17.0,2.0,19.0,1.0,20.0,3.0,23.0,3.0,26.0,1.0,27.0
0.037,9,7.0,7.0,3.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0
0.037,10,2.0,2.0,4.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
0.037,11,5.0,5.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
0.037,12,7.0,7.0,2.0,9.0,0.0,9.0,0.0,9.0,1.0,10.0,0.0,10.0,1.0,11.0,2.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0
0.037,13,7.0,7.0,3.0,10.0,1.0,11.0,4.0,15.0,4.0,19.0,3.0,22.0,3.0,25.0,2.0,27.0,1.0,28.0,2.0,30.0,5.0,35.0,5.0,40.0,4.0,44.0,2.0,46.0,0.0,46.0,1.0,47.0,1.0,48.0,1.0,49.0,1.0,50.0
0.037,14,4.0,4.0,4.0,8.0,3.0,11.0,2.0,13.0,4.0,17.0,7.0,24.0,3.0,27.0,4.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0
0.037,15,5.0,5.0,2.0,7.0,1.0,8.0,2.0,10.0,2.0,12.0,4.0,16.0,3.0,19.0,1.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
0.037,16,6.0,6.0,6.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0
