0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18
,"[0, 13, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,"[0, 10, 18, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
,"[0, 19, 13, 1, 1, 2, 2, 0, 0, 2, 0, 1, 2, 0, 2, 2, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 3, 3, 0, 0, 2, 1, 0, 0, 0]",,,,,,
,,"[0, 20, 10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[0, 6, 20, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[0, 7, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[0, 20, 10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[0, 29, 6, 3, 3, 4, 2, 2, 1, 3, 1, 3, 4, 2, 3, 4, 3, 0, 3, 3, 1, 4, 2, 0, 2, 2, 3, 3, 5, 0, 3, 3, 3, 2, 0, 0]",,,,,
,,"[0, 12, 16, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[1, 17, 14, 1, 3, 3, 0, 1, 0, 2, 0, 0, 2, 0, 3, 2, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 1, 4, 0, 0, 2, 1, 0, 0, 0]",,,,,
,,"[0, 14, 17, 7, 3, 4, 3, 2, 0, 4, 1, 3, 3, 2, 3, 4, 2, 1, 3, 3, 0, 5, 2, 0, 1, 3, 3, 3, 5, 1, 2, 3, 3, 2, 0, 0]",,,,,
,,"[0, 9, 20, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[0, 10, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[0, 11, 14, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
,,"[0, 6, 4, 21, 3, 3, 1, 0, 0, 2, 0, 2, 1, 1, 2, 2, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 3, 0, 0, 3, 0, 1, 0, 0]",,,,,
