0.01,0.03,0.05,0.07,0.09
,,,"[5, 61, 36, 36, 46, 41, 37, 36, 37, 36, 36, 36, 40, 45, 37, 36, 38, 37, 36]",
,,,"[4, 67, 42, 42, 49, 53, 42, 42, 44, 41, 42, 43, 46, 48, 43, 43, 48, 43, 43]",
,,,"[4, 75, 50, 50, 61, 60, 51, 51, 52, 50, 50, 50, 56, 60, 50, 52, 53, 52, 51]",
,,,"[4, 64, 38, 38, 51, 39, 40, 38, 39, 38, 38, 38, 46, 42, 41, 38, 40, 39, 38]",
,,,"[4, 72, 46, 46, 63, 47, 48, 46, 46, 47, 46, 46, 54, 56, 46, 46, 48, 48, 46]",
,,,"[5, 59, 34, 34, 44, 38, 34, 35, 34, 35, 33, 35, 37, 39, 37, 35, 36, 36, 34]",
,,,"[5, 71, 46, 46, 61, 51, 45, 47, 46, 47, 46, 46, 55, 55, 48, 45, 48, 47, 46]",
,,,"[3, 53, 26, 26, 35, 26, 28, 26, 27, 26, 25, 26, 30, 30, 27, 26, 27, 27, 27]",
,,,"[4, 66, 40, 40, 47, 50, 40, 40, 41, 40, 40, 40, 46, 48, 42, 41, 43, 39, 41]",
,,,"[4, 66, 40, 40, 49, 49, 40, 40, 41, 40, 40, 40, 45, 51, 40, 41, 42, 39, 41]",
,,,"[3, 58, 32, 32, 38, 38, 32, 32, 33, 33, 32, 32, 32, 43, 33, 32, 34, 33, 32]",
,,,"[5, 53, 28, 28, 39, 29, 28, 28, 28, 28, 28, 28, 33, 32, 29, 28, 30, 28, 29]",
,,,"[4, 64, 38, 38, 45, 46, 38, 38, 39, 39, 38, 38, 45, 45, 38, 38, 41, 38, 39]",
,,,"[3, 59, 32, 32, 42, 35, 33, 32, 32, 33, 32, 32, 40, 34, 34, 32, 36, 32, 32]",
,,,"[4, 76, 50, 50, 66, 56, 51, 50, 52, 50, 49, 51, 53, 56, 49, 51, 57, 56, 52]",
,,,"[7, 53, 30, 30, 34, 38, 31, 30, 30, 31, 28, 31, 32, 35, 32, 30, 32, 33, 30]",
,,,"[5, 49, 24, 24, 29, 28, 24, 24, 25, 25, 23, 25, 26, 28, 24, 24, 27, 26, 24]",
,,,,"[5, 47, 22, 22, 25, 26, 22, 22, 22, 24, 22, 22, 24, 27, 22, 22, 23, 24, 22]"
,,,,"[7, 72, 51, 50, 63, 59, 50, 50, 51, 50, 50, 50, 59, 61, 51, 50, 52, 51, 50]"
,,,,"[5, 73, 48, 48, 67, 50, 49, 48, 48, 49, 47, 49, 58, 55, 49, 48, 52, 49, 48]"
,,,,"[5, 81, 56, 56, 74, 64, 56, 56, 57, 56, 56, 56, 63, 71, 58, 57, 58, 56, 56]"
,,,,"[6, 72, 48, 48, 63, 54, 49, 48, 48, 48, 48, 48, 58, 60, 48, 48, 49, 48, 48]"
,,,,"[3, 81, 54, 54, 67, 64, 56, 54, 54, 54, 54, 54, 67, 66, 54, 54, 55, 55, 54]"
,,,,"[6, 66, 42, 42, 57, 45, 42, 42, 43, 42, 42, 42, 52, 48, 44, 43, 43, 42, 42]"
,,,,"[5, 69, 44, 44, 58, 49, 44, 45, 45, 44, 44, 44, 51, 53, 44, 44, 48, 44, 45]"
,,,,"[6, 76, 52, 52, 65, 63, 52, 52, 53, 52, 52, 52, 62, 62, 53, 52, 55, 53, 52]"
,,,,"[4, 68, 42, 42, 54, 49, 42, 42, 43, 42, 42, 42, 50, 51, 42, 42, 44, 43, 42]"
,,,,"[4, 54, 28, 28, 33, 35, 28, 28, 29, 29, 28, 28, 30, 34, 28, 28, 30, 31, 28]"
,,,,"[6, 76, 52, 52, 60, 66, 52, 52, 53, 53, 52, 52, 60, 65, 52, 52, 55, 53, 52]"
