0.01,0.04,0.07,0.1,0.13,0.16
,"[0, 1, 0, 2, 0, 0, 0, 1, 2, 1, 5, 0, 0, 2, 5, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",,,,
,"[0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4, 2, 4, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 2, 0, 0, 1, 0]",,,,
,"[0, 1, 0, 0, 1, 2, 4, 3, 6, 0, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,
,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 2, 2, 0, 2, 0, 0, 1, 2, 2, 1, 0, 0, 0, 1, 2, 0]",,,,
,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]",,,,
,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4, 6, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",,,,
,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 3, 0, 0, 1, 1, 0, 2, 5, 3, 0, 0, 2, 1, 0, 0, 1, 0]",,,,
,"[0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 4, 4, 1, 0, 0, 0, 0, 1, 2, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",,,,
,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",,,,
,"[0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,
,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0]",,,,
